fabric_id,fullname,isactive
1,105334,1
1,105335,1
1,105336,1
1,105337,1
1,105338,1
1,105339,1
1,105340,1
1,105341,1
1,105342,1
1,105343,1
1,105344,1
1,105345,1
1,105346,1
1,105347,1
1,105348,1
1,105349,1
1,105350,1
1,105351,1
1,105352,1
1,105353,1
1,105354,1
1,105355,1
1,105356,1
1,105357,1
1,105358,1
1,105359,1
1,105360,1
1,105361,1
1,105362,1
1,105363,1
1,105364,1
1,105365,1
1,105366,1
1,105367,1
1,105368,1
1,105369,1
1,105370,1
1,105371,1
1,105372,1
1,105373,1
1,105374,1
1,105375,1
1,105376,1
1,105377,1
1,105378,1
1,105379,1
1,105380,1
1,105381,1
1,105382,1
1,105383,1
1,105384,1
1,105385,1
1,105386,1
1,105387,1
1,105388,1
1,105389,1
1,105390,1
1,105391,1
1,105392,1
1,105393,1
1,105394,1
1,105395,1
1,105396,1
1,105397,1
1,105398,1
1,105399,1
1,105400,1
1,105401,1
1,105402,1
1,105403,1
1,105404,1
1,105405,1
1,105406,1
1,105407,1
1,105408,1
1,105409,1
1,105410,1
1,105411,1
1,105412,1
1,105413,1
1,105414,1
1,105415,1
1,105416,1
1,105417,1
1,105418,1
1,105419,1
1,105421,1
1,105423,1
1,105425,1
1,105426,1
1,105427,1
1,105428,1
1,105429,1
1,105430,1
1,105431,1
1,105432,1
1,105433,1
1,105434,1
1,105435,1
1,105436,1
1,105437,1
1,105438,1
1,105439,1
1,105440,1
1,105441,1
1,105442,1
1,105443,1
1,105444,1
1,105445,1
1,105446,1
1,105447,1
1,105448,1
1,105449,1
1,105450,1
1,105451,1
1,105452,1
1,105453,1
1,105454,1
1,105455,1
1,105456,1
1,105457,1
1,105458,1
1,105459,1
1,105460,1
1,105461,1
1,105462,1
1,105463,1
1,105464,1
1,105465,1
1,105466,1
1,105467,1
1,105468,1
1,105469,1
1,105470,1
1,105471,1
1,105472,1
1,105473,1
1,105474,1
1,105475,1
1,105476,1
1,105477,1
1,105478,1
1,105479,1
1,105480,1
1,105481,1
1,105482,1
1,105483,1
1,105484,1
1,105485,1
1,105486,1
1,105487,1
1,105488,1
1,105489,1
1,105490,1
1,105491,1
1,105492,1
1,105493,1
1,105494,1
1,105495,1
1,105496,1
1,105497,1
1,105498,1
1,105499,1
1,105500,1
1,105501,1
1,105502,1
1,105503,1
1,105504,1
1,105505,1
1,105506,1
1,105507,1
1,105508,1
2,101401,1
2,101402,1
2,101403,1
2,101405,1
2,101406,1
2,101407,1
2,101408,1
2,101409,1
2,101411,1
2,101412,1
2,101413,1
2,101414,1
2,101415,1
2,101416,1
2,101417,1
2,101419,1
2,101420,1
2,101421,1
2,101423,1
2,101424,1
2,101425,1
2,101426,1
2,101427,1
2,101428,1
2,101429,1
2,101430,1
2,101431,1
2,101868,1
2,101869,1
2,101870,1
2,101871,1
2,101872,1
2,101873,1
2,101874,1
2,101875,1
2,101876,1
2,101877,1
2,101878,1
2,101879,1
2,101880,1
2,101881,1
2,101882,1
2,101883,1
2,101884,1
2,101885,1
2,101886,1
2,101887,1
2,101888,1
2,101889,1
2,101890,1
2,101891,1
2,101892,1
2,101893,1
2,101894,1
3,101728,1
3,101729,1
3,101730,1
3,101733,1
3,101734,1
3,101735,1
3,101738,1
3,101740,1
3,101741,1
3,101742,1
3,101743,1
3,101744,1
3,101746,1
3,101748,1
3,101749,1
3,101753,1
3,101754,1
3,101757,1
3,101758,1
3,101759,1
3,101760,1
3,101761,1
3,101762,1
3,101763,1
3,101764,1
3,101861,1
3,101862,1
3,101863,1
3,101864,1
3,101909,1
3,101910,1
3,101911,1
3,101912,1
3,101939,1
3,101940,1
3,101941,1
3,101942,1
3,101943,1
3,101944,1
3,101945,1
3,101946,1
3,101947,1
3,101948,1
3,101949,1
3,101950,1
4,100229,1
4,100235,1
4,100237,1
4,100239,1
4,100240,1
4,100241,1
4,100242,1
4,100243,1
4,100244,1
4,100258,1
4,100259,1
4,100260,1
4,100262,1
4,100265,1
4,100266,1
4,100268,1
4,100269,1
4,100270,1
4,100272,1
4,100273,1
4,100275,1
4,100387,1
4,100393,1
4,100394,1
4,100395,1
4,100396,1
4,100397,1
4,100398,1
4,100399,1
4,100400,1
4,100406,1
4,100409,1
4,100411,1
4,100412,1
4,100414,1
4,100415,1
4,100416,1
4,100419,1
4,100420,1
4,100421,1
4,100422,1
4,100423,1
4,100424,1
4,100425,1
4,100491,1
4,100534,1
4,100535,1
4,100538,1
4,100539,1
4,100542,1
4,100545,1
4,100565,1
4,100590,1
4,101502,1
4,101503,1
4,101504,1
4,101505,1
4,101509,1
4,101510,1
4,101511,1
4,101513,1
4,101514,1
4,101523,1
4,101524,1
4,101525,1
4,101526,1
4,101810,1
4,101812,1
4,101813,1
4,101814,1
4,101815,1
4,101816,1
4,101817,1
4,101818,1
4,101820,1
4,101866,1
4,101923,1
5,101530,1
5,101531,1
5,101532,1
5,101533,1
5,101534,1
5,101535,1
5,101536,1
5,101537,1
5,101538,1
5,101539,1
5,101540,1
5,101541,1
5,101542,1
5,101543,1
5,101544,1
5,101545,1
5,101546,1
5,101547,1
5,101548,1
5,101549,1
5,101550,1
5,101551,1
5,101552,1
5,101553,1
5,101554,1
5,101555,1
5,101556,1
5,101557,1
5,101558,1
5,101559,1
5,101560,1
5,101562,1
5,101563,1
5,101565,1
5,101566,1
5,101567,1
5,101568,1
5,101569,1
5,101571,1
5,101572,1
5,101573,1
5,101574,1
5,101575,1
5,101576,1
5,101577,1
5,101578,1
5,101579,1
5,101580,1
5,101581,1
5,101582,1
5,101583,1
5,101584,1
5,101585,1
5,101586,1
5,101587,1
5,101588,1
5,101589,1
5,101593,1
5,101594,1
5,101595,1
5,101597,1
5,101598,1
5,101600,1
5,101602,1
5,101606,1
5,101609,1
5,101610,1
5,101611,1
5,101612,1
5,101613,1
5,101614,1
5,101615,1
5,101616,1
5,101617,1
6,101680,1
6,101685,1
6,101692,1
6,101693,1
6,101694,1
6,101695,1
6,101696,1
6,101697,1
6,101698,1
6,101700,1
6,101701,1
6,101702,1
6,101703,1
6,101704,1
6,101705,1
6,101706,1
6,101707,1
6,101708,1
6,101709,1
6,101710,1
6,101711,1
6,101712,1
6,101713,1
6,101714,1
6,101715,1
6,101716,1
6,101717,1
6,101718,1
6,101719,1
6,101721,1
6,101723,1
6,101724,1
6,101725,1
6,101726,1
6,101837,1
6,101838,1
6,101840,1
6,101841,1
6,101842,1
6,101843,1
6,101844,1
6,101846,1
6,101847,1
6,101849,1
6,101850,1
6,101851,1
6,101914,1
6,101915,1
6,101916,1
6,101917,1
6,101918,1
6,101919,1
6,101920,1
6,101921,1
6,101933,1
6,101934,1
6,101935,1
6,101936,1
6,101937,1
7,100248,1
7,100252,1
7,100276,1
7,100285,1
7,100287,1
7,100288,1
7,100293,1
7,100295,1
7,100296,1
7,100378,1
7,100383,1
7,100446,1
7,100456,1
7,100462,1
7,100465,1
7,100466,1
7,100471,1
7,100479,1
7,100488,1
7,101438,1
7,101439,1
7,101440,1
7,101447,1
7,101451,1
7,101452,1
7,101453,1
7,101454,1
7,101455,1
7,101457,1
7,101458,1
7,101459,1
7,101460,1
7,101461,1
7,101462,1
7,101463,1
7,101464,1
7,101465,1
7,101467,1
7,101468,1
7,101469,1
7,101470,1
7,101471,1
7,101472,1
7,101473,1
7,101474,1
7,101475,1
7,101476,1
7,101477,1
7,101478,1
7,101479,1
7,101480,1
7,101481,1
7,101482,1
7,101483,1
7,101484,1
7,101485,1
7,101490,1
7,101491,1
7,101492,1
7,101660,1
7,101661,1
7,101662,1
7,101665,1
7,101668,1
7,101670,1
7,101673,1
7,101674,1
7,101775,1
7,101786,1
7,101790,1
7,101792,1
7,101793,1
7,101795,1
7,101796,1
7,101797,1
7,101798,1
7,101804,1
7,101805,1
7,101807,1
7,101824,1
7,101829,1
7,101831,1
7,101832,1
7,101833,1
7,101834,1
7,101835,1
7,101853,1
7,101858,1
7,101859,1
7,101896,1
7,101897,1
7,101898,1
7,101899,1
7,101900,1
7,101901,1
7,101902,1
7,101903,1
7,101905,1
7,101952,1
7,101953,1
7,101954,1
7,101956,1
7,101957,1
7,101958,1
7,101959,1
7,101960,1
7,101961,1
8,100107,1
8,100108,1
8,100109,1
8,100110,1
8,100113,1
8,100114,1
8,100115,1
8,100116,1
8,100117,1
8,100118,1
8,100119,1
8,100120,1
8,100122,1
8,100123,1
8,100124,1
8,100125,1
8,100126,1
8,100127,1
8,100130,1
8,100131,1
8,100132,1
8,100133,1
8,100134,1
8,100204,1
8,100256,1
8,100297,1
8,100298,1
8,100299,1
8,100492,1
8,100493,1
8,100496,1
8,100497,1
8,100499,1
8,100500,1
8,100501,1
8,100502,1
8,100503,1
8,100583,1
8,100584,1
8,100585,1
8,100586,1
8,100587,1
8,100588,1
8,100589,1
8,101619,1
8,101620,1
8,101621,1
8,101623,1
8,101624,1
8,101625,1
8,101626,1
8,101627,1
8,101628,1
8,101629,1
8,101630,1
8,101631,1
8,101632,1
8,101633,1
8,101634,1
8,101635,1
8,101637,1
8,101638,1
8,101640,1
8,101641,1
8,101642,1
8,101643,1
8,101645,1
8,101647,1
8,101649,1
8,101650,1
8,101652,1
8,101925,1
8,101926,1
8,101927,1
8,101928,1
8,101929,1
8,101930,1
8,101931,1
9,400902,1
9,400903,1
9,400906,1
9,400907,1
9,400908,1
9,400911,1
9,400912,1
9,400913,1
9,400915,1
9,400916,1
9,400917,1
9,400919,1
9,400921,1
9,400922,1
9,400923,1
9,400924,1
9,400925,1
9,400927,1
9,400928,1
9,400929,1
9,400930,1
9,400931,1
9,400932,1
9,400933,1
9,400934,1
9,400935,1
9,400936,1
9,400937,1
9,400938,1
9,400939,1
9,400940,1
9,400943,1
9,400944,1
9,400945,1
9,400946,1
9,400947,1
9,400948,1
9,400949,1
9,400950,1
9,400951,1
